county,democratic,green,justice_for_all,libertarian,no_labels,republican,unafilliated,we the people,white,black,americanindian_alaskanative,asian,hawaian_pacific,multi_racial,other,undesignated,hispanic ,male,female,total,percent_republican,percent_democratic,percent_unafilliated
ALAMANCE,"38,237",34,2,693,244,"38,303","42,053",15,"76,726","24,670",273,"1,256",17,743,"5,473","10,429","7,018","49,418","59,760","119,587",0.320294012,0.319742112,0.351651935
ALEXANDER,"3,985",4,1,126,57,"12,708","9,057",7,"22,500",972,39,158,2,44,423,"1,811",545,"11,620","12,426","25,949",0.489729855,0.153570465,0.349030791
ALLEGHANY,"1,691",1,0,42,18,"3,558","3,015",1,"7,292",78,12,6,0,17,159,762,255,"3,688","3,940","8,326",0.427336056,0.203098727,0.362118664
ANSON,"8,532",5,1,58,33,"3,387","4,725",3,"6,948","6,490",35,105,1,22,224,"2,920",169,"6,247","7,496","16,745",0.202269334,0.509525231,0.282173783
ASHE,"3,676",4,0,105,29,"9,551","7,435",1,"18,910",123,25,58,3,20,243,"1,419",357,"9,252","10,192","20,801",0.459160617,0.176722273,0.357434739
AVERY,"1,267",4,1,69,23,"7,314","4,160",2,"11,567",67,18,26,0,18,133,"1,011",133,"5,702","6,222","12,840",0.569626168,0.098676012,0.323987539
BEAUFORT,"10,110",7,4,133,56,"13,333","11,429",8,"24,280","7,098",42,62,2,71,786,"2,740",747,"14,821","17,355","35,081",0.380063282,0.288190188,0.325788889
BERTIE,"7,500",1,1,39,19,"1,804","3,469",0,"4,631","7,078",19,31,1,17,77,979,56,"5,294","6,560","12,833",0.14057508,0.584430764,0.27031871
BLADEN,"8,990",6,3,87,56,"5,895","8,645",3,"12,942","7,610",418,30,4,98,549,"2,034",658,"10,085","11,862","23,685",0.248891704,0.379565126,0.364998944
BRUNSWICK,"28,290",32,4,734,264,"57,499","54,224",10,"116,852","9,294",411,585,11,262,"2,580","11,064","2,416","59,576","69,071","141,059",0.40762376,0.200554378,0.384406525
